Version,ReleaseDateUtc,PackageFile,SHA256,PackageSize
"1.0.0.3","2026-07-11T06:27:42.5066627Z","VBoxTrayManager-1.0.0.3.zip","3E4FB2B0A58B018A35DBF2F75FC38304382EC78000114D0CAB097B85FB80B699","20127877"
"1.0.0.4","2026-07-11T06:39:03.2323644Z","VBoxTrayManager-1.0.0.4.zip","B830020F77BF51FDA740D186A3F9054DACA0226C692E60CF15E92A9C797A9AA7","20127878"
"1.0.0.5","2026-07-12T23:00:23.1864438Z","VBoxTrayManager-1.0.0.5.zip","7ADBF0A3299A5037717D9B8BE3F3989FCCB329463DF329149F1C4BE7F5CE2251","20131896"
"1.0.0.6","2026-07-12T23:32:44.6165754Z","VBoxTrayManager-1.0.0.6.zip","7A6D566E5BE92B0885113A6740720A0DB59C1666FD33226CE2A1511A1C39A718","20174927"
"1.0.0.8","2026-07-13T14:31:15.7191432Z","VBoxTrayManager-1.0.0.8.zip","C54A7E198553E203AA9C3C02240D0C8C845635C3E68F31903EAA26B448E3564A","20177355"
"1.0.0.10","2026-07-13T19:59:06.4342338Z","VBoxTrayManager-1.0.0.10.zip","73D276C44833899C3347CC2053B77E300A617B0CEB4BE113651F4A3750A040A6","20178240"
"1.0.0.13","2026-07-13T20:05:44.0913574Z","VBoxTrayManager-1.0.0.13.zip","2575D97D90EA97A25CC8E8F2E54A5B4A21D9901D684122A50E5E39B823DC8B62","20178262"
"1.0.0.15","2026-07-14T06:29:35.0497170Z","VBoxTrayManager-1.0.0.15.zip","AF728E2956C9682845545514B9CD9583E4442FF364351934BC78A955150D606D","20180387"
"1.0.0.17","2026-07-14T15:37:41.6200841Z","VBoxTrayManager-1.0.0.17.zip","5B140B97816AE4DD14D73FED476710531FA3EB730A7A8D7CD4C6B5FC4E20D9C8","20180664"
"1.0.0.19","2026-07-14T15:59:33.1949483Z","VBoxTrayManager-1.0.0.19.zip","5F2A8F1BED674122CCD68BE7DBE33BE0BD8A54C76DC3750BD5D608BDA023D6CF","20180607"
"1.0.0.21","2026-07-14T19:29:11.8678572Z","VBoxTrayManager-1.0.0.21.zip","A1795083068604534EE6A399765CB2C48E72A96BCEFB12CC58AC15CB34E45B56","20180385"
"1.0.0.23","2026-07-14T20:47:52.7367855Z","VBoxTrayManager-1.0.0.23.zip","F7A8F1F42412F738537881D3D2793BCD909076A4D0EDD33F6415F4A530FBDE47","20180593"
"1.0.0.25","2026-07-15T02:59:52.9293565Z","VBoxTrayManager-1.0.0.25.zip","DC341830E98EF4630002447058AC3FC47C491062814E98752D0F508693B1773D","22187453"
"1.0.0.27","2026-07-15T03:10:36.2956084Z","VBoxTrayManager-1.0.0.27.zip","3BE414F3E4F2052FE395127A0975287C76B71B04E04B303896D31956B22901C4","20181224"
"1.0.0.29","2026-07-15T03:19:23.6820483Z","VBoxTrayManager-1.0.0.29.zip","B15FCF0A2554BEE3EB3C9F0A21ECBD9E704403C12AF3AF02CA2DFA72B9C0CCD3","20181238"
"1.0.0.31","2026-07-15T03:31:07.1759928Z","VBoxTrayManager-1.0.0.31.zip","4304F3A8F548EBA5BE5645CD3F9120EEEEC1D57CCB75CE466A991D3F9EF6AEEC","20181224"
"1.0.0.33","2026-07-15T04:07:02.8847887Z","VBoxTrayManager-1.0.0.33.zip","F977452144257E8010BD3AF269DFB61644FA3C63CC3456D1C3A3666FEBBCD4ED","20180705"
"1.0.0.35","2026-07-20T16:33:15.1891572Z","VBoxTrayManager-1.0.0.35.zip","E22C8808263B0C5F7EEBE5659FF1593B05731D834D9355670B839770ABBCF866","22214724"
"1.0.0.37","2026-07-20T21:41:35.7664872Z","VBoxTrayManager-1.0.0.37.zip","23B35315F05E8476487B885C0D5DE87051A881C7DCFB66A7A1255123F2ED190C","20196149"
"1.0.0.39","2026-07-20T22:37:36.0708951Z","VBoxTrayManager-1.0.0.39.zip","77318FB61ECC5014BA648F9D8CF8BA7FD94A1A04E7770CC49C7D40E052CA18A7","20196803"
"1.0.0.42","2026-07-20T22:59:37.9809481Z","VBoxTrayManager-1.0.0.42.zip","616A3E5327069F6B0DCBEC9327493ADB22DCE002CF21102588D3B837DF446DD6","20196697"
"1.0.0.44","2026-07-20T23:29:24.9513158Z","VBoxTrayManager-1.0.0.44.zip","FC64DC36FAD681CEA54293CDC99219114C12D07626FDE6177F51035E012FA9DC","20196720"
"1.0.0.46","2026-07-21T00:02:12.5359411Z","VBoxTrayManager-1.0.0.46.zip","B336A859612078B3FFDB23B408E5A6FB96E13A6618F183F6FB1817D96A1B04E2","20196505"
